ReturnHeader-Filer-EIN,ReturnHeader-Filer-BusinessName-BusinessNameLine1Txt,ReturnHeader-TaxPeriodEndDt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-AddressLine1Txt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-CityNm,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-StateAbbreviationCd,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-ZIPCd,ReturnHeader-Filer-USAddress-AddressLine1Txt,ReturnHeader-Filer-USAddress-CityNm,ReturnHeader-Filer-USAddress-StateAbbreviationCd,ReturnHeader-Filer-USAddress-ZIPCd,ReturnHeader-Filer-BusinessNameControlTxt,ReturnHeader-Filer-PhoneNum,ReturnHeader-Filer-BusinessOfficerGrp-PersonNm,ReturnHeader-Filer-BusinessOfficerGrp-PersonTitleTxt,ReturnData-IRS990-AccountsReceivableGrp-BOYAmt,ReturnData-IRS990-AccountsReceivableGrp-EOYAmt
042429311,LANDMARK SCHOOL INC,2016-06-30,10 ELM ST,DANVERS,MA,019232811,429 HALE STREET,PRIDES CROSSING,MA,01965,LAND,9789274440,,,252611,686606
560530248,ASHEVILLE SCHOOL INC,2016-06-30,PO BOX 5595,ASHEVILLE,NC,288135595,360 ASHEVILLE SCHOOL ROAD,ASHEVILLE,NC,28806,ASHE,8282546345,,,477394,350102
042103636,WALNUT HILL SCHOOL FOR THE ARTS,2016-06-30,1 PINE HILL DRIVE SUITE 301,QUINCY,MA,021697431,12 HIGHLAND STREET,NATICK,MA,01760,WALN,5086534312,,,208633,114834
020223317,Brewster Academy,2016-06-30,PO Box 1100,Portland,ME,041041100,80 Academy Drive,Wolfeboro,NH,03894,BREW,6035697103,,,232398,206750
020223634,THE NEW HAMPTON SCHOOL,2016-06-30,19 MORGAN DRIVE,LEBANON,NH,03766,70 MAIN STREET,NEW HAMPTON,NH,03256,NEWH,6036773400,,,6145079,7155805
020222179,PROCTOR ACADEMY,2016-06-30,19 MORGAN DRIVE,LEBANON,NH,03766,PO BOX 500,ANDOVER,NH,03216,PROC,6037356000,,,403099,257316
020222147,KIMBALL UNION ACADEMY,2016-06-30,19 MORGAN DRIVE,LEBANON,NH,03766,PO BOX 188,MERIDEN,NH,037700188,KIMB,6034693211,,,342879,961978
050270487,THE WINCHENDON SCHOOL INC,2016-08-31,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,172 Ash Street,Winchendon,MA,01475,WINC,9782971223,,,1608892,1850408
231365963,REGENTS OF THE MERCERSBURG COLLEGE,2016-06-30,9737 WASHINGTONIAN BLVD 400,GAITHERSBURG,MD,208787340,300 EAST SEMINARY ST,MERCERSBURG,PA,172361551,REGE,7173286110,,,39097,47990
060646961,WESTOVER SCHOOL INC,2016-06-30,207 BANK ST,WATERBURY,CT,06702,1237 WHITTEMORE ROAD,MIDDLEBURY,CT,067620847,WEST,2037582423,,,176798,116216
060646786,Miss Porter's School Inc,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,60 MAIN STREET,FARMINGTON,CT,060322232,MISS,8604093500,,,76436,103754
060689699,ETHEL WALKER SCHOOL INC,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,230 BUSHY HILL ROAD,SIMSBURY,CT,06070,ETHE,8606584467,,,1079414,739212
042105775,TRUSTEES OF LAWRENCE ACADEMY,2016-06-30,1 PINE HILL DRIVE SUITE 301,QUINCY,MA,021697431,PO BOX 992,GROTON,MA,01450,TRUS,9784486535,,,3411431,3476058
060910420,CHOATE ROSEMARY HALL FOUNDATION,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,333 CHRISTIAN STREET,WALLINGFORD,CT,064923818,CHOA,2036972676,,,53072,128276
210639868,The Hun School of Princeton,2016-06-30,331 NEWMAN SPRINGS RD STE 125,RED BANK,NJ,077016765,176 EDGERSTOUNE ROAD,PRINCETON,NJ,08540,HUNS,6099217600,,,667705,918009
010211509,GOULD ACADEMY,2016-06-30,20 LONG CREEK DRIVE,SOUTH PORTLAND,ME,04106,CHURCH STREET PO BOX 860,BETHEL,ME,04217,GOUL,2078247700,,,65012,32550
231352656,LINDEN HALL SCHOOL FOR GIRLS,2016-06-30,PO BOX 8408,LANCASTER,PA,176048408,212 EAST MAIN STREET,LITITZ,PA,17543,LIND,7176268512,,,16609,66496
060655480,AVON OLD FARMS SCHOOL INC,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,500 OLD FARMS ROAD,AVON,CT,06001,AVON,8604044100,,,69210,33753
060647018,THE HOTCHKISS SCHOOL,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,11 INTERLAKEN,LAKEVILLE,CT,060390800,HOTC,8604352591,,,412948,242263
060646921,THE TAFT SCHOOL CORPORATION,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,110 WOODBURY RD,WATERTOWN,CT,06795,TAFT,8609457777,,,7609854,8287994
340714390,WESTERN RESERVE ACADEMY,2016-06-30,1111 SUPERIOR AVE SUITE 700,CLEVELAND,OH,441142540,115 COLLEGE STREET,HUDSON,OH,442362926,WEST,3306504400,,,20131,282996
382015048,CRANBROOK EDUCATIONAL COMMUNITY,2016-06-30,2601 CAMBRIDGE CT STE 500,AUBURN HILLS,MI,48326,PO BOX 801,BLOOMFIELD HILLS,MI,483030801,CRAN,2486453000,,,1340775,1447406
520591645,OLDFIELDS SCHOOL INC,2016-06-30,910 RIDGEBROOK ROAD,SPARKS,MD,21152,1500 GLENCOE ROAD,GLENCOE,MD,21152,OLDF,4104724800,,,160257,0
350868071,Culver Educational Foundation,2016-06-30,225 West Wacker Drive,Chicago,IL,606061224,1300 Academy Road No 159,Culver,IN,465111291,CULV,5748428222,,,380196,954144
042103579,TRUSTEES OF PHILLIPS ACADEMY,2016-06-30,101 SEAPORT BLVD SUITE 500,BOSTON,MA,02210,180 MAIN STREET,ANDOVER,MA,018104161,TRUS,9787494000,,,2145618,2524398
042103623,ST MARK'S SCHOOL OF SOUTHBOROUGH INC,2016-06-30,401 Edgewater Place Suite 300,Wakefield,MA,018806208,25 MARLBOROUGH ROAD,SOUTHBOROUGH,MA,01772,STMA,5087866000,,,162768,234536
042105838,WILBRAHAM AND MONSON ACADEMY,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,423 MAIN STREET,WILBRAHAM,MA,01095,WILB,4135966811,,,10803,18818
042103573,THE FAY SCHOOL INC,2016-06-30,57 BEDFORD ST STE 225,LEXINGTON,MA,024204443,48 MAIN STREET,SOUTHBOROUGH,MA,017721595,FAYS,5084850100,,,600685,349559
010211532,KENTS HILL SCHOOL,2016-06-30,46 FIRSTPARK DRIVE,OAKLAND,ME,049635362,PO BOX 257,KENTS HILL,ME,04349,KENT,2076854914,,,86434,161331
210634492,The Peddie School,2016-06-30,331 NEWMAN SPRINGS RD STE 125,RED BANK,NJ,077016765,201 South Main Street,Hightstown,NJ,08520,PEDD,6099447510,,,1477861,582562
620475837,THE MCCALLIE SCHOOL,2016-06-30,271 17TH STREET SUITE 1600,ATLANTA,GA,30363,500 DODDS AVENUE,CHATTANOOGA,TN,37404,MCCA,4236248300,,,959694,1152239
131740472,MASTERS SCHOOL,2016-06-30,685 THIRD AVENUE,NEW YORK,NY,10017,49 CLINTON AVENUE,DOBBS FERRY,NY,10522,MAST,9144796400,,,134882,91659
951644630,CATE SCHOOL,2016-06-30,111 E VICTORIA ST 2ND FLOOR,SANTA BARBARA,CA,931012018,P O BOX 5005,CARPINTERIA,CA,93014,CATE,8056848409,,,280153,250334
060692379,RUMSEY HALL SCHOOL INC,2016-06-30,207 BANK ST,WATERBURY,CT,06702,201 ROMFORD ROAD,WASHINGTON DEPOT,CT,06794,RUMS,8608680535,,,70303,23579
250995765,KISKIMINETAS SPRINGS SCHOOL,2016-06-30,THREE GATEWAY CTR STE 1800,PITTSBURGH,PA,15222,1888 BRETT LANE,SALTSBURG,PA,15681,KISK,7246393580,,,1652897,2591633
010880911,Ross Institute,2016-06-30,972 Emerson Parkway STE A,Greenwood,IN,46143,18 Goodfriend Drive,East Hampton,NY,11937,ROSS,6319075102,,,251715,185748
141601551,TRINITY-PAWLING SCHOOL CORPORATION,2016-06-30,1185 AVENUE OF THE AMERICAS 38 FL,NEW YORK,NY,10036,700 ROUTE 22,PAWLING,NY,12564,TRIN,8458553100,,,,
540505925,THE MADEIRA SCHOOL INC,2016-06-30,7101 WISCONSIN AVE SUITE 1012,BETHESDA,MD,20814,8328 GEORGETOWN PIKE,MCLEAN,VA,221021203,MADE,7035568241,,,961119,2198021
060646648,Forman School Inc,2016-06-30,609 FARMINGTON AVE STE 201,HARTFORD,CT,06105,PO Box 80,Litchfield,CT,06759,FORM,8605671806,,,107597,100484
010221344,BRIDGTON ACADEMY,2016-06-30,20 LONG CREEK DRIVE,SOUTH PORTLAND,ME,04106,PO BOX 292,NORTH BRIDGTON,ME,040570292,BRID,2076473322,,,238018,247342
050259009,ST GEORGE'S SCHOOL,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,PO BOX 1910,NEWPORT,RI,028400190,STGE,4018477565,,,225795,210290
042105855,WORCESTER ACADEMY,2016-06-30,89 SHREWSBURY STREET,WORCESTER,MA,01604,81 PROVIDENCE STREET,WORCESTER,MA,01604,WORC,5087545302,,,237592,201949
870290194,WASATCH ACADEMY,2016-06-30,36 S STATE STREET SUITE 600,SALT LAKE CITY,UT,84111,120 S 100 W,MT PLEASANT,UT,84647,WASA,4354622411,,,37608,0
231352667,PERKIOMEN SCHOOL,2016-06-30,357 N MAIN ST,SOUDERTON,PA,189641608,200 SEMINARY AVENUE,PENNSBURG,PA,18073,PERK,2156791136,,,86329,54640
060646805,The Rectory School Inc,2016-06-30,350 CHURCH STREET 12TH FLOOR,HARTFORD,CT,06103,528 Pomfret Street,Pomfret,CT,06258,RECT,8609287759,,,51362,86651
362216167,LAKE FOREST ACADEMY,2016-06-30,10 S Riverside Plaza 9th Floor,Chicago,IL,60606,1500 WEST KENNEDY ROAD,LAKE FOREST,IL,60045,LAKE,8476153213,,,2870826,2915809
042104265,GROTON SCHOOL,2016-06-30,,,,,PO Box 991,Groton,MA,01450,GROT,9784483363,,,427062,359886
141338390,EMMA WILLARD SCHOOL,2016-06-30,6 WEMBLEY COURT,ALBANY,NY,12205,285 PAWLING AVENUE,TROY,NY,121805238,EMMA,5188331300,,,137112,292238
231370498,Church Farm School,2016-06-30,2001 MARKET STREET SUITE 700,PHILADELPHIA,PA,19103,1001 E Lincoln Highway,Exton,PA,19341,CHUR,6103637500,,,89334,269153
060646661,THE GUNNERY INC,2016-06-30,207 BANK ST,WATERBURY,CT,06702,99 GREEN HILL ROAD,WASHINGTON,CT,06793,GUNN,8608687334,,,44094,55297
510079506,St Andrew's School Of Delaware Inc,2016-06-30,62 Rockford Road,Wilmington,DE,198061004,350 Noxontown Road,Middletown,DE,197091621,STAN,3023789511,,,242709,485066
042103574,THE FESSENDEN SCHOOL,2016-06-30,80 CITY SQUARE,BOSTON,MA,021293742,250 WALTHAM STREET,WEST NEWTON,MA,02465,FESS,6179645350,,,357822,363352
060678539,SUFFIELD ACADEMY,2016-06-30,,,,,185 North Main Street,Suffield,CT,06078,SUFF,8603864400,,,6644372,7375568
042103564,THE GOVERNOR'S ACADEMY,2016-06-30,10 FORBES ROAD WEST,BRAINTREE,MA,02184,1 ELM STREET,BYFIELD,MA,01922,GOVE,9784651763,,,136445,99388
540506326,THE PROTESTANT EPISCOPAL HIGH SCHOOL,2016-06-30,9737 WASHINGTONIAN BLVD 400,GAITHERSBURG,MD,208787340,1200 N QUAKER LANE,ALEXANDRIA,VA,223023004,PROT,7039333000,,,422438,195346
410696908,SHATTUCK-ST MARY'S SCHOOL,2016-06-30,3050 METRO DR STE 200,MINNEAPOLIS,MN,554251547,1000 SHUMWAY AVENUE PO BOX 218,FARIBAULT,MN,55021,SHAT,5073331500,,,190762,276685
210634503,THE LAWRENCEVILLE SCHOOL,2016-06-30,506 CARNEGIE CENTER STE 400,PRINCETON,NJ,085406243,PO BOX 6126,LAWRENCEVILLE,NJ,086486126,LAWR,6098952138,,,1364860,1402885
050262717,ST ANDREW'S SCHOOL,2016-06-30,56 EXCHANGE TERRACE,PROVIDENCE,RI,02903,63 FEDERAL ROAD,BARRINGTON,RI,02806,STAN,4012461230,,,5298,23628
042104048,THE TRUSTEES OF CUSHING ACADEMY,2016-06-30,80 CITY SQUARE,BOSTON,MA,021293742,39 SCHOOL STREET,ASHBURNHAM,MA,01430,TRUS,9788275911,,,773112,946532
540505868,THE BLUE RIDGE SCHOOL INC,2016-05-31,124 NEWMAN AVENUE,HARRISONBURG,VA,22801,273 MAYO DRIVE,ST GEORGE,VA,22935,BLUE,4349852811,,,68142,54299
580566169,DARLINGTON SCHOOL INC,2016-05-31,5607 GLENRIDGE DR STE 650,ATLANTA,GA,303424959,1014 CAVE SPRING ROAD,ROME,GA,30161,DARL,7062360400,,,329608,611862
141430542,NORTH COUNTRY SCHOOL INC,2016-08-31,24 Margaret St Suite 4,Plattsburgh,NY,12901,4382 CASCADE ROAD,LAKE PLACID,NY,12946,NORT,5185239329,,,1682577,1024083
060646681,INDIAN MOUNTAIN SCHOOL INC,2016-06-30,296 STATE STREET,NORTH HAVEN,CT,064732165,211 INDIAN MOUNTAIN ROAD,LAKEVILLE,CT,06039,INDI,8604350871,,,290673,247282
042103562,Dana Hall School,2016-06-30,401 Edgewater Place Suite 300,Wakefield,MA,018806208,PO Box 9010,Wellesley,MA,024829010,DANA,7812353010,,,146567,77327
042121313,BERKSHIRE SCHOOL INC,2016-06-30,296 STATE STREET,NORTH HAVEN,CT,064732165,245 NORTH UNDERMOUNTAIN ROAD,SHEFFIELD,MA,012579672,BERK,4132298511,,,119780,108973
116112414,THE STONY BROOK SCHOOL,2016-06-30,125 Baylis Road Suite 300,Melville,NY,11747,1 CHAPMAN PARKWAY,STONY BROOK,NY,117901799,STON,6317511800,,,97878,229373
060646784,Pomfret School Incorporated,2016-06-30,609 FARMINGTON AVE STE 201,HARTFORD,CT,06105,398 Pomfret Street,Pomfret,CT,06258,POMF,8609636100,,,43321,96732
030179600,VERMONT ACADEMY,2016-06-30,19 MORGAN DRIVE,LEBANON,NH,03766,PO BOX 500,SAXTONS RIVER,VT,05154,VERM,8028696200,,,389148,371878
540505898,FOXCROFT SCHOOL,2016-06-30,805 KING FARM BLVD 3RD FLOOR,ROCKVILLE,MD,20850,PO BOX 5555,MIDDLEBURG,VA,20118,FOXC,5406875555,,,179606,164038
941156652,SANTA CATALINA SCHOOL,2016-06-30,913 Blanco Circle,Salinas,CA,93901,1500 MARK THOMAS DRIVE,MONTEREY,CA,93940,SANT,8316559334,,,6604731,6044348
231352647,THE HILL SCHOOL,2016-06-30,1818 MARKET STREET SUITE 2400,PHILADELPHIA,PA,19103,717 E HIGH ST,POTTSTOWN,PA,19464,HILL,6103261000,,,216304,115593
560532314,SAINT MARYS SCHOOL,2016-06-30,,,,,900 Hillsborough Street,Raleigh,NC,27603,SAIN,9194244125,,,88184,56108
951856591,THE WEBB SCHOOLS,2016-06-30,2210 E ROUTE 66 STE 100,GLENDORA,CA,917404676,1175 W BASELINE ROAD,CLAREMONT,CA,91711,WEBB,9096263587,,,147263,257203
520591516,GARRISON FOREST SCHOOL INC,2016-06-30,100 INTERNATIONAL DRIVE SUITE 1400,BALTIMORE,MD,21202,300 GARRISON FOREST SCHOOL,OWINGS MILLS,MD,21117,GARR,4103631500,,,633617,648927
951642398,The Thacher School,2016-06-30,1332 Mill Creek Ct,Thousand Oaks,CA,913606202,5025 Thacher Road,Ojai,CA,93023,THAC,8056403237,,,407192,365782
042103632,Tabor Academy,2016-06-30,75 STATE STREET,BOSTON,MA,02109,66 Spring Street,Marion,MA,02738,TABO,5087482000,,,475510,153080
042103563,TRUSTEES OF DEERFIELD ACADEMY,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,PO BOX 87,DEERFIELD,MA,013420087,TRUS,4137740241,,,405930,570686
016021559,Hyde School,2016-06-30,PO Box 1100,Portland,ME,041041100,616 High Street,Bath,ME,04530,HYDE,2074435584,,,91951,17104
060662137,HAMDEN HALL SCHOOL INC,2016-06-30,100 BRADLEY ROAD,WOODBRIDGE,CT,06525,1108 WHITNEY AVENUE,HAMDEN,CT,06517,HAMD,2037522600,,,603460,680893
042103964,THE CAMBRIDGE SCHOOL OF WESTON INC,2016-06-30,56 EXCHANGE TERRACE,PROVIDENCE,RI,02903,45 GEORGIAN ROAD,WESTON,MA,02493,CAMB,7816428600,,,66755,71077
930630376,Delphi Schools Inc,2016-12-31,3511 SE Milwaukie Ave,Portland,OR,97202,20950 SW Rock Creek Rd,Sheridan,OR,97378,DELP,5038433521,,,81109,54470
060653119,THE LOOMIS INSTITUTE,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,BATCHELDER ROAD,WINDSOR,CT,06095,LOOM,8606876000,,,9421675,8770677
562108610,WINSTON SALEM ACADEMY INC,2016-06-30,200 OTTAWA AVE NW STE 300,GRAND RAPIDS,MI,49503,5426 SHATTALON DRIVE,WINSTONSALEM,NC,271060000,WINS,6162221700,,,0,0
020223580,CARDIGAN MOUNTAIN SCHOOL,2016-06-30,19 MORGAN DRIVE,LEBANON,NH,03766,62 ALUMNI DRIVE,CANAAN,NH,03741,CARD,6035234321,,,156636,154067
060662113,THE CHESHIRE ACADEMY,2016-06-30,PO BOX 187169,HAMDEN,CT,06518,10 MAIN STREET,CHESHIRE,CT,06410,CHES,2032725396,,,6297,1780
221500475,BLAIR ACADEMY,2016-06-30,1818 MARKET STREET SUITE 2400,PHILADELPHIA,PA,19103,PO BOX 600,BLAIRSTOWN,NJ,07825,BLAI,9083626121,,,592404,471354
041200600,CONCORD ACADEMY,2016-06-30,80 CITY SQUARE,BOSTON,MA,021293742,166 MAIN STREET,CONCORD,MA,01742,CONC,9784022200,,,286309,
540519590,WOODBERRY FOREST SCHOOL,2016-06-30,818 E JEFFERSON ST PO BOX 1408,CHARLOTTESVILLE,VA,22902,ONE WALKER DRIVE,WOODBERRY FOREST,VA,22989,WOOD,5406723900,,,802693,521589
221756952,PURNELL SCHOOL,2016-06-30,200 VALLEY RD SUITE 300,MT ARLINGTON,NJ,07856,51 POTTERSVILLE RD PO BOX 500,POTTERSVILLE,NJ,07979,PURN,9084392154,,,115,1500
060646960,TRUSTEES OF WESTMINSTER SCHOOL INC,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,995 HOPMEADOW STREET,SIMSBURY,CT,06070,TRUS,8604083000,,,,
042130844,BROOKS SCHOOL,2016-06-30,500 BOYLSTON STREET,BOSTON,MA,02116,1160 GREAT POND ROAD,NORTH ANDOVER,MA,01845,BROO,9787256300,,,77544,78175
030179305,PUTNEY SCHOOL INC,2016-06-30,102 PERIMETER ROAD,NASHUA,NH,03063,418 HOUGHTON BROOK ROAD,PUTNEY,VT,053468675,PUTN,8023876215,,,99862,144426
520591488,CORPORATION OF ST TIMOTHY'S SCHOOL,2016-06-30,2553 HOUSLEY ROAD SUITE 200,ANNAPOLIS,MD,21401,8400 GREENSPRING AVENUE,STEVENSON,MD,21153,CORP,4104867400,,,25046,109690
020222174,PHILLIPS EXETER ACADEMY,2016-06-30,101 SEAPORT BLVD SUITE 500,BOSTON,MA,02210,20 MAIN STREET,EXETER,NH,038332460,PHIL,6037724311,,,533040,255734
042103603,MILTON ACADEMY,2016-06-30,500 BOYLSTON STREET,BOSTON,MA,02116,170 CENTRE STREET,MILTON,MA,02186,MILT,6178981798,,,113602,247629
580593430,Rabun Gap-Nacoochee School,2016-06-30,271 17TH STREET SUITE 1600,ATLANTA,GA,30363,339 Nacoochee Drive,Rabun Gap,GA,30568,RABU,7067467467,,,417319,491456
042103821,MIDDLESEX SCHOOL,2016-06-30,80 CITY SQUARE,BOSTON,MA,021293742,1400 LOWELL ROAD,CONCORD,MA,01742,MIDD,9783692550,,,69144,85173
210635004,THE PENNINGTON SCHOOL,2016-06-30,506 CARNEGIE CENTER STE 400,PRINCETON,NJ,085406243,112 W DELAWARE AVE,PENNINGTON,NJ,08534,PENN,6097371838,,,141360,186691
060646566,CANTERBURY SCHOOL INC,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,101 ASPETUCK AVENUE,NEW MILFORD,CT,06776,CANT,8602103800,,,726566,625284
061623476,The Trinity Foundation dba Marianapolis Preparatory School,2016-06-30,609 FARMINGTON AVE STE 201,HARTFORD,CT,06105,26 Chase Road PO Box 304,Thompson,CT,062770304,TRIN,8609239565,,,84483,240119
042109865,NORTHFIELD MOUNT HERMON SCHOOL,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,ONE LAMPLIGHTER WAY,MOUNT HERMON,MA,01354,NORT,4134983000,,,4043179,3994636
