Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,Desc-1,Desc-2,Desc-3,BusinessCd-1,BusinessCd-2,BusinessCd-3,TotalRevenueColumnAmt-1,TotalRevenueColumnAmt-2,TotalRevenueColumnAmt-3,ExclusionAmt-1,ExclusionAmt-2,ExclusionAmt-3
060689699,ETHEL WALKER SCHOOL INC,OTHER INCOME,,,900099,,,32557,,,"",,
042105775,TRUSTEES OF LAWRENCE ACADEMY,MISCELLANEOUS REVENUE,,,611110,,,177966,,,"",,
060910420,CHOATE ROSEMARY HALL FOUNDATION,,,,,,,,,,,,
210639868,The Hun School of Princeton,OTHER REVENUE,,,900099,,,148334,,,"",,
010211509,GOULD ACADEMY,,,,,,,,,,,,
231352656,LINDEN HALL SCHOOL FOR GIRLS,MISCELLANEOUS,,,900099,,,7952,,,"",,
060655480,AVON OLD FARMS SCHOOL INC,summer camp tuitions,HOCKEY RINK and squash,miscellaneous income,611710,713910,900099,457649,364373,132123,"",364373,132123
060647018,THE HOTCHKISS SCHOOL,student fees and other,Student activities and,CHILD CARE INCOME,900099,611710,611710,1306571,737448,290470,301822,"",290470
060646921,THE TAFT SCHOOL CORPORATION,AUXILIARY INCOME,HOCKEY RINK,,611110,532000,,246903,196132,,74335,"",
340714390,WESTERN RESERVE ACADEMY,,,,,,,,,,,,
382015048,CRANBROOK EDUCATIONAL COMMUNITY,AUXILIARY,,,900099,,,185881,,,185881,,
520591645,OLDFIELDS SCHOOL INC,,,,,,,,,,,,
350868071,Culver Educational Foundation,Overseas student trip fees,Sports instruction fees,Avery Farms,611110,611620,611110,11353,95000,192277,"","",""
042103579,TRUSTEES OF PHILLIPS ACADEMY,CHILD CARE CENTER,COURTS & CAGE,OTHER INCOME,624410,713940,900099,63894,27000,6890,"","",""
042103623,ST MARK'S SCHOOL OF SOUTHBOROUGH INC,Miscellaneous Income,Auxiliary Program,Hockey Rink,611710,611710,611710,226627,174699,34665,"","",""
042105838,WILBRAHAM AND MONSON ACADEMY,OTHER SUPPORT SERVICES,insurance settlement proceeds,,611710,900099,,210878,3644,,210878,3644,
042103573,THE FAY SCHOOL INC,,,,,,,,,,,,
010211532,KENTS HILL SCHOOL,SUNDRY INCOME UNRESTRICTED,SUNDRY INCOME RESTRICTED,DISCOUNTS TAKEN,"","","",16328,5665,1149,"","",""
210634492,The Peddie School,"GOLF COURSE, SUMMER CAMP PROGRAMS",SNACK BAR,SOLAR RENEWABLE ENERGY CERTIFICATES,713910,722513,900099,2787520,159668,320186,"","",320186
620475837,THE MCCALLIE SCHOOL,OTHER REVENUE,,,611710,,,12785,,,"",,
131740472,MASTERS SCHOOL,,,,,,,,,,,,
951644630,CATE SCHOOL,MISCELLANEOUS,CROP PROCEEDS-AVOCADOS,,611600,111000,,446769,-33064,,"","",
060692379,RUMSEY HALL SCHOOL INC,STUDENT LAUNDRY REIMBURSEMENT,,,"",,,126380,,,126380,,
250995765,KISKIMINETAS SPRINGS SCHOOL,OTHER INCOME,,,900099,,,223338,,,223338,,
010880911,Ross Institute,,,,,,,,,,,,
141601551,TRINITY-PAWLING SCHOOL CORPORATION,MISCELLANEOUS,TUITION LATE CHARGES,INCR CSV INSURANCE,611710,611710,611710,86019,28433,-537,"","",""
540505925,THE MADEIRA SCHOOL INC,,,,,,,,,,,,
060646648,Forman School Inc,Other income,,,611710,,,63098,,,63098,,
010221344,BRIDGTON ACADEMY,,,,,,,,,,,,
050259009,ST GEORGE'S SCHOOL,MISCELLANEOUS INCOME,,,900099,,,581370,,,"",,
042105855,WORCESTER ACADEMY,VENDING & MISC. INCOME,,,611600,,,20549,,,"",,
870290194,WASATCH ACADEMY,,,,,,,,,,,,
231352667,PERKIOMEN SCHOOL,,,,,,,,,,,,
060646805,The Rectory School Inc,"FEES, DEPOSITS AND OTHER INCOME",,,611710,,,150241,,,22646,,
362216167,LAKE FOREST ACADEMY,catered events,miscellaneous,,722320,900099,,1424654,45616,,"",45616,
042104265,GROTON SCHOOL,,,,,,,,,,,,
141338390,EMMA WILLARD SCHOOL,MISCELLANEOUS,,,900099,,,11202,,,"",,
231370498,Church Farm School,,,,,,,,,,,,
060646661,THE GUNNERY INC,MISCELLANEOUS INCOME,STUDENT LOAN INTEREST,FORESTER PARTNERS II,611710,611710,523000,87829,1500,1434,"","",""
510079506,St Andrew's School Of Delaware Inc,OTHER REVENUE,,,611600,,,8230,,,"",,
042103574,THE FESSENDEN SCHOOL,MISCELLANEOUS INCOME,PARENT ASSOCIATION,DEPOSITS FORFEITED,900099,611710,900099,108649,39415,10349,108649,39415,10349
060678539,SUFFIELD ACADEMY,,,,,,,,,,,,
042103564,THE GOVERNOR'S ACADEMY,MISCELLANEOUS,,,900099,,,96110,,,"",,
540506326,THE PROTESTANT EPISCOPAL HIGH SCHOOL,OTHER REVENUE,TENNIS AND SWIM CLUB,,900099,713940,,76483,38898,,76483,"",
410696908,SHATTUCK-ST MARY'S SCHOOL,,,,,,,,,,,,
210634503,THE LAWRENCEVILLE SCHOOL,SUMMER CAMPS,GOLF AND TENNIS CLUB,ICE RINK,713940,713910,713940,1223842,34852,310020,"","",""
050262717,ST ANDREW'S SCHOOL,MISCELLANEOUS INCOME,NET UNRELATED BUSINESS INVESTMENT,,900099,900099,,280873,24039,,"","",
042104048,THE TRUSTEES OF CUSHING ACADEMY,ICE RINK RENTAL,TRANSPORTATION,STORAGE REVENUE,900099,480000,900099,328441,75628,15533,76108,75628,15533
540505868,THE BLUE RIDGE SCHOOL INC,INCREASE IN CSV OF LIFE INSURANCE,,,525990,,,39739,,,39739,,
580566169,DARLINGTON SCHOOL INC,OTHER INCOME,,,900099,,,56335,,,"",,
141430542,NORTH COUNTRY SCHOOL INC,,,,,,,,,,,,
060646681,INDIAN MOUNTAIN SCHOOL INC,,,,,,,,,,,,
042103562,Dana Hall School,,,,,,,,,,,,
042121313,BERKSHIRE SCHOOL INC,FINANCE CHARGES,P.V. ADJ FOR SPLIT-INTEREST AGREE,,900099,900099,,12364,-71168,,12364,-71168,
116112414,THE STONY BROOK SCHOOL,MISCELLANEOUS,,,900099,,,148820,,,148820,,
060646784,Pomfret School Incorporated,Hockey Rink Rentals,Summer Programs,Tennis Club,531120,711310,711310,117356,201405,19977,"","",""
030179600,VERMONT ACADEMY,,,,,,,,,,,,
540505898,FOXCROFT SCHOOL,FITNESS REVENUE,MISC,,713940,900001,,4030,-21013,,"",-21013,
941156652,SANTA CATALINA SCHOOL,APPLICATION FEES,GRADUATION FEES,OTHER REVENUE,"","","",22527,18350,281023,"","",""
231352647,THE HILL SCHOOL,MISCELLANEOUS INCOME,STUDENT BUS TRIPS,VENDING INCOME,900099,900099,900099,222801,75595,5639,"","",""
560532314,SAINT MARYS SCHOOL,,,,,,,,,,,,
951856591,THE WEBB SCHOOLS,MISCELLANEOUS,,,"",,,50607,,,50607,,
520591516,GARRISON FOREST SCHOOL INC,,,,,,,,,,,,
951642398,The Thacher School,Misc. income,,,611710,,,7100,,,7100,,
042103632,Tabor Academy,,,,,,,,,,,,
042103563,TRUSTEES OF DEERFIELD ACADEMY,SUMMER SPORTS CAMPS,OTHER REVENUE,OUTSIDE FUNCTION REVENUE,713940,900099,900099,143158,125407,63272,143158,125407,22970
016021559,Hyde School,Shared Services Allocation,,,611600,,,1431477,,,"",,
060662137,HAMDEN HALL SCHOOL INC,,,,,,,,,,,,
042103964,THE CAMBRIDGE SCHOOL OF WESTON INC,MISC REVENUE - ALL OTHER,,,900099,,,29111,,,"",,
930630376,Delphi Schools Inc,FINANCE CHARGES,Scrap Material Sales,,525990,900099,,12160,18690,,12160,18690,
060653119,THE LOOMIS INSTITUTE,SUMMER PROGRAMS,FACILITY RENTAL,ICE RINK,611110,611110,611110,224266,74640,18675,"","",""
562108610,WINSTON SALEM ACADEMY INC,DISCRETIONARY SUPPORT,,,611710,,,35000,,,35000,,
020223580,CARDIGAN MOUNTAIN SCHOOL,,,,,,,,,,,,
060662113,THE CHESHIRE ACADEMY,NET INSURANCE PROCEEDS FROM FIRE,RENTS,,611600,531390,,1443854,150510,,"","",
221500475,BLAIR ACADEMY,SUMMER PROGRAMS,GOLF & TENNIS,,611710,713910,,534594,47325,,"","",
041200600,CONCORD ACADEMY,,,,,,,,,,,,
540519590,WOODBERRY FOREST SCHOOL,FARMING ACTIVITIES,PRIVATE GOLF COURSE,,110000,713910,,165458,140188,,"","",
221756952,PURNELL SCHOOL,,,,,,,,,,,,
060646960,TRUSTEES OF WESTMINSTER SCHOOL INC,MISCELLANEOUS INCOME,HOCKEY RINK,RENTAL OF FACILITIES - CAMPS,900099,900099,721000,494145,172651,148190,494145,"",""
042130844,BROOKS SCHOOL,,,,,,,,,,,,
030179305,PUTNEY SCHOOL INC,OTHER,BOOKSTORE,APPLICATION FEE REVENUE,611710,611710,611710,73289,20735,10500,73289,20735,10500
520591488,CORPORATION OF ST TIMOTHY'S SCHOOL,,,,,,,,,,,,
020222174,PHILLIPS EXETER ACADEMY,APPLICATION FEES,BOOKSTORE COMMISSIONS,TUITION REFUND INSURANCE,611710,611710,611710,103055,142916,71193,"",142916,""
042103603,MILTON ACADEMY,,,,,,,,,,,,
580593430,Rabun Gap-Nacoochee School,ALTERNATIVE INVESTMENTS-UBIT,,,525990,,,-533430,,,-528733,,
042103821,MIDDLESEX SCHOOL,PROGRAM TRIP INCOME,OUTSIDE MUSIC LESSONS,COMMUNICATION FEES,611710,611600,900099,149269,133915,111300,"","",""
210635004,THE PENNINGTON SCHOOL,OTHER,YEARBOOK ADVERTISING,,"",541800,,154468,6535,,"","",
060646566,CANTERBURY SCHOOL INC,INSTITUTIONAL PROPERTY,SUMMER CAMPS,OTHER INCOME,713990,713990,611710,299164,272512,81966,"","",81966
061623476,The Trinity Foundation dba Marianapolis Preparatory School,Miscellaneous,,,611110,,,926,,,"",,
042109865,NORTHFIELD MOUNT HERMON SCHOOL,MISCELLANEOUS,TRUST INCOME,,900099,900099,,764287,236910,,"",236910,
